customer_id,code,name,status,address_used,latitude,longitude,accuracy,match_precision,notes
1,B&M001 5,B&M RETAIL LTD,updated-low-confidence,"Pochin Way
Middlewich
CW10 0TE",53.1919365,-2.4289867,200,GEOMETRIC_CENTER,"Google match: 'Pochin Way, Middlewich CW10, UK'; LOW CONFIDENCE - review manually"
2,B&M001 4,B&M RETAIL LTD,updated,"The Qube
Dakota Drive
Estuary Commerce Park
Speke, Liverpool, L24 8RJ",53.34611109999999,-2.8842518,10,ROOFTOP,"Google match: 'The Qube, Estuary Commerce Park, Dakota Dr, Liverpool L24 8RJ, UK'"
3,B&M001 1,B&M RETAIL LTD,updated-low-confidence,"Unit 1G
Squires Gate Ind Estate
Squires Gate Lane
Blackpool, FY4 3RN",53.7773526,-3.050429,200,GEOMETRIC_CENTER,"Google match: 'Squires Gate, Lytham Saint Annes FY8 2ST, UK'; partial match; LOW CONFIDENCE - review manually"
4,B&M001 3,B&M RETAIL LTD,updated-low-confidence,"Onyx 350
Blackheath Lane Manor Park
Runcorn
WA7 1SE",53.3522569,-2.652807,200,GEOMETRIC_CENTER,"Google match: 'Blackheath Ln, Runcorn WA7 1SE, UK'; partial match; LOW CONFIDENCE - review manually"
5,B&M001 2,B&M RETAIL LTD,updated-low-confidence,"The Vault
Dakota Drive
Estuary Commerce Park,
Speke, Liverpool, L24 8RJ",53.3459456,-2.8744074,200,GEOMETRIC_CENTER,"Google match: 'Estuary Commerce Park, Estuary Blvd, Liverpool L24 8AD, UK'; LOW CONFIDENCE - review manually"
6,B&M001 6,B&M RETAIL LTD,updated-low-confidence,"ZANDER WAY
WIXAMS
BEDFORD
MK42 6EY",52.0936979,-0.4786843,200,GEOMETRIC_CENTER,"Google match: 'Zander Wy, Bedford MK42 6EY, UK'; LOW CONFIDENCE - review manually"
7,Wor001 2,THE WORKS STORES LIMITED,updated,"42 High Street
Solihull
B91 3TB",52.4134858,-1.7790049,10,ROOFTOP,"Google match: '42 High St, Solihull B91 3TB, UK'"
8,Wor001 3,THE WORKS STORES LIMITED,updated,"46/50 Gallowtree Gate
Leicester
Leicestershire
LE1 1DA",52.6348016,-1.1316592,10,ROOFTOP,"Google match: '46, 46-50 Gallowtree Gate, Leicester LE1 1DA, UK'"
9,Wor001 1,THE WORKS STORES LIMITED,updated-low-confidence,"Midpoint Park,Minworth
Sutton
Coldfield
West Midlands, B76 1RN",52.52451989999999,-1.7737877,200,GEOMETRIC_CENTER,"Google match: 'Premier Paper Group, Midpoint Pk, Kingsbury Rd, The Royal Town of Sutton Coldfield, Birmingham, Sutton Coldfield B76 1AF, UK'; partial match; LOW CONFIDENCE - review manually"
10,Wor001 4,THE WORKS STORES LIMITED,updated-low-confidence,"Shenstone Business Park
 Lynn Lane
 Shenstone
 Lichfield, Staffs, WS14 0SB",52.6385021,-1.8456278,200,GEOMETRIC_CENTER,"Google match: 'Shenstone Business park, Lynn Ln, Shenstone, Lichfield WS14 0SB, UK'; LOW CONFIDENCE - review manually"
11,99p001 1,OF VENICE,skipped-no-address,,,,,,
12,A&B001 1,A&B LIMITED,updated-low-confidence,"45 Berth Central Road
Eastern Docks Gate 4
Southampton
S014 3AH",50.9105468,-1.4049018,3000,APPROXIMATE,"Google match: 'Southampton, UK'; partial match; LOW CONFIDENCE - review manually"
13,AAR001 1,AARKAY EXIMS LTD,updated-low-confidence,"Aarkay Exims Ltd
Unit 26
Phoenix Distribution Park,
Phoenix Way,Heston,, Middx TW5 9NB",51.48420170000001,-0.3719867,3000,APPROXIMATE,"Google match: 'Heston, Hounslow TW5, UK'; partial match; LOW CONFIDENCE - review manually"
14,ABR001 1,ABRA WHOLESALES LTD,updated,"5 Pickets Lock Lane
Edmonton
London
N9 0AS",51.629592,-0.039584,10,ROOFTOP,"Google match: '5 Pickett's Lock Ln, London N9 0AS, UK'"
15,ADV001 1,ADVANCED GLOBAL PRODUCTIONS LTD,updated-low-confidence,"The Tube Business Centre
86 North st
M8 8RA",53.4953308,-2.235629,10,ROOFTOP,"Google match: '86 North St, Cheetham Hill, Manchester M8 8RA, UK'; partial match; LOW CONFIDENCE - review manually"
16,AGE001 1,AGE UK,updated,"44 Hardwick Grange
Woolston
Warrington
WA1 4RF",53.4069065,-2.5291058,50,RANGE_INTERPOLATED,"Google match: '44 Hardwick Grange, Woolston, Warrington WA1 4SR, UK'"
17,AI002 1,A I TRADING LTD,updated-low-confidence,"54 Murray Place
Stirling
FK8 2BK",56.1189686,-3.936266,10,ROOFTOP,"Google match: '54 Murray Pl, Stirling FK8 2BX, UK'; partial match; LOW CONFIDENCE - review manually"
18,AI003 1,ALLSORTS IMPORTS LTD,updated,"Unit 4 Princes Rd
Ramsgate
Kent
CT11 7SA",51.3423349,1.4098404,10,ROOFTOP,"Google match: '4 Princes Rd, Ramsgate CT11 7SA, UK'"
19,ALAN001 1,ALAN REISSE,updated-low-confidence,"Unit 6 Donore Business Park
Donore
Drogheda",53.70571280000001,-6.3625197,10,ROOFTOP,"Google match: 'Donore Business Park, Donore Rd, Lagavooren, Drogheda, Co. Louth, Ireland'; partial match; LOW CONFIDENCE - review manually"
20,ALB001 1,ALBERT HARRISON & CO LTD,updated-low-confidence,"Queen Mill
Queens Road
Accrington
Lancashire, BB5 6DS",53.7599674,-2.3734937,200,GEOMETRIC_CENTER,"Google match: 'Queens Rd W, Accrington BB5, UK'; partial match; LOW CONFIDENCE - review manually"
